Date of Demolition,Locality,District,Area,Housing Units,People left Homeless,Minors left Homeless,Type Of Structure
2024-12-31,al-Jiftlik,Jericho,west-bank,1,3,1,Residental
2024-12-25,Nahhalin,Bethlehem,west-bank,1,0,0,Non Resedential
2024-12-25,Nahhalin,Bethlehem,west-bank,1,0,0,Non Resedential
2024-12-25,a-Nabi Elyas,Qalqiliya,west-bank,1,0,0,Non Resedential
2024-12-25,a-Nabi Elyas,Qalqiliya,west-bank,1,0,0,Non Resedential
2024-12-24,Hizma,al-Quds,west-bank,1,0,0,Residental
2024-12-24,Hizma,al-Quds,west-bank,2,0,0,Non Resedential
2024-12-24,Hizma,al-Quds,west-bank,2,0,0,Non Resedential
2024-12-22,Shuyukh al-'Arrub,Hebron,west-bank,1,7,3,Residental
2024-12-17,a-Nuwei'mah al-Foqa,Jericho,west-bank,2,6,2,Residental
2024-12-17,Deir Ballut,Salfit,west-bank,3,0,0,Non Resedential
2024-12-16,'Anata,al-Quds,west-bank,1,1,0,Residental
2024-12-16,'Anata,al-Quds,west-bank,1,5,4,Residental
2024-12-16,'Anata,al-Quds,west-bank,1,7,2,Residental
2024-12-16,'Anata,al-Quds,west-bank,1,6,4,Residental
2024-12-16,'Anata,al-Quds,west-bank,1,3,1,Residental
2024-12-16,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2024-12-16,'Anata,al-Quds,west-bank,1,6,4,Residental
2024-12-16,'Anata,al-Quds,west-bank,1,5,3,Residental
2024-12-16,'Anata,al-Quds,west-bank,1,7,3,Residental
2024-12-16,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2024-12-16,Tulkarm,Tulkarm,west-bank,1,0,0,Non Resedential
2024-12-16,Tulkarm,Tulkarm,west-bank,1,0,0,Non Resedential
2024-12-16,Tulkarm,Tulkarm,west-bank,1,0,0,Non Resedential
2024-12-15,a-Ramadin,Hebron,west-bank,1,0,0,Non Resedential
2024-12-15,a-Dhahiriyah,Hebron,west-bank,1,0,0,Non Resedential
2024-12-13,Qusin,Nablus,west-bank,1,0,0,Non Resedential
2024-12-12,Za'tara,Bethlehem,west-bank,1,0,0,Non Resedential
2024-12-12,Za'tara,Bethlehem,west-bank,1,0,0,Non Resedential
2024-12-12,Za'tara,Bethlehem,west-bank,1,0,0,Non Resedential
2024-12-12,Za'tara,Bethlehem,west-bank,1,0,0,Non Resedential
2024-12-12,Za'tara,Bethlehem,west-bank,1,0,0,Non Resedential
2024-12-10,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential
2024-12-10,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential
2024-12-10,Kafr a-Dik,Salfit,west-bank,2,0,0,Non Resedential
2024-12-10,Kh. al-Fakhit,Hebron,west-bank,1,6,5,Residental
2024-12-10,a-Samu',Hebron,west-bank,3,0,0,Non Resedential
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,6,2,Residental
2024-12-10,Kh.a-Twayel,Nablus,west-bank,3,0,0,Non Resedential
2024-12-10,Kh.a-Twayel,Nablus,west-bank,1,5,3,Residental
